Letter,MAD1,ptp1,SC1,fftPeak1,meanFFTOne1,meanFFTTwo1,meanFFTThree1,meanFFTFour1,meanFFTFive1,stdFFTOne1,stdFFTTwo1,stdFFTThree1,stdFFTFour1,stdFFTFive1,meanSTFTOne1,meanSTFTTwo1,meanSTFTThree1,meanSTFTFour1,meanSTFTFive1,stdSTFTOne1,stdSTFTTwo1,stdSTFTThree1,stdSTFTFour1,stdSTFTFive1,MAD2,ptp2,SC2,fftPeak2,meanFFTOne2,meanFFTTwo2,meanFFTThree2,meanFFTFour2,meanFFTFive2,stdFFTOne2,stdFFTTwo2,stdFFTThree2,stdFFTFour2,stdFFTFive2,meanSTFTOne2,meanSTFTTwo2,meanSTFTThree2,meanSTFTFour2,meanSTFTFive2,stdSTFTOne2,stdSTFTTwo2,stdSTFTThree2,stdSTFTFour2,stdSTFTFive2
A,0.382444453,20.10581613,0.172850328,8.035714286,70.62541647,45.08926811,74.75735604,18.7076813,55.11320193,6.400056464,23.07905788,8.867586673,7.90748067,2.336585093,4.307786875,9.456494043,2.224782217,5.945629598,0.857210058,0.455155561,0.624027493,0.113816623,0.158532473,0.036903476,0.450413562,12.94583542,0.147940872,7.142857143,95.50464506,71.56525628,32.4880422,17.66129073,17.46395838,5.598443013,13.10248203,4.40242439,5.074948785,1.441333848,4.064465744,7.127133915,1.413151528,2.448656936,0.815850378,0.374488246,0.575538382,0.135368568,0.141568656,0.045652081
A,0.264255057,27.27797604,0.199366576,8.928571429,44.64136247,19.28982084,78.41812447,7.183282422,81.4783158,5.364058944,39.40686066,15.13563994,13.46020465,2.957543931,3.643898325,9.699848702,2.722872832,8.364242869,0.95595442,1.068516919,0.569396389,0.120936238,0.1348554,0.039140627,0.396411436,16.13461222,0.162509239,8.928571429,98.84975378,57.29531577,44.52428164,19.86188103,23.47174221,3.25409064,18.21155835,3.921284064,6.682163098,2.178559385,4.05165428,8.254473424,1.667136346,3.416849976,0.973643116,0.842398706,0.648646808,0.207824199,0.15717258,0.039721337
A,0.329985003,22.98154888,0.188826341,8.928571429,63.68687994,35.40934578,78.26748693,10.18209667,66.11295078,6.204810005,29.41468562,10.61754232,10.34967266,2.462710049,3.966328608,9.542764341,2.559739487,7.028456322,1.0642633,0.799627588,0.731106945,0.141284394,0.185770108,0.047842975,0.385958674,15.18453295,0.163499871,9.821428571,94.77338625,68.93031549,37.71734056,18.04072663,23.55366654,4.405617942,18.03479587,4.797069453,7.884678059,2.156813085,4.056304,7.952193502,1.779574035,3.222131556,1.00907751,0.495858953,0.673139888,0.12072029,0.174936838,0.039380791
A,0.327783449,23.76121547,0.193780364,8.928571429,56.96210515,33.13827686,77.37030804,6.036687565,73.32169923,10.46876419,30.32827995,11.36478135,10.31525442,2.568540763,4.009848685,9.502464478,2.669091128,7.370796974,1.124800335,0.67062782,0.775860732,0.087210756,0.198278963,0.045067409,0.405642585,15.8112557,0.167593171,8.928571429,97.09026987,65.5998915,38.90556599,12.58595274,23.96710635,3.663164127,18.36001972,4.504400493,6.871622553,1.671859147,4.115425598,8.198319648,1.769091614,3.277563765,1.013196106,0.470670761,0.74431473,0.11474597,0.194566415,0.037984091
A,0.34438515,23.25557399,0.191262519,8.035714286,59.12741257,35.24735109,78.77585807,5.414406668,70.38214011,8.302394183,28.32862976,10.91617232,9.136794427,2.690957694,4.157071519,9.431450167,2.666919248,6.933139351,1.071474459,0.580574672,0.766641776,0.120149345,0.203202211,0.038988726,0.392842742,15.64257377,0.165076991,8.928571429,98.93106984,62.12324908,40.91739669,17.23130312,21.90177585,3.356328958,16.87395058,3.201204629,7.071162687,1.893842287,4.12870449,8.157105904,1.767155953,2.998500902,1.064032927,0.424752153,0.758361193,0.141288017,0.193749132,0.053024669
A,0.307506839,27.02160154,0.209626069,7.142857143,46.92227284,30.8444676,68.17464639,4.375744418,80.67320269,3.252283556,46.96563932,14.8999954,15.64024523,3.27037754,3.767200113,9.114640449,2.874351038,8.796106414,1.097889279,1.571794441,0.633902699,0.254300953,0.147480691,0.037798658,0.402636222,14.78192638,0.17032596,8.035714286,90.67626372,72.60075022,27.70279417,12.2468885,31.43908818,8.265416037,25.23262488,5.235381122,8.696512572,4.061207252,3.854970152,7.541265209,1.685304951,3.968871619,0.880818164,0.902095215,0.592019754,0.166317502,0.147312606,0.031064427
A,0.393171675,18.19576361,0.171876468,7.142857143,79.93719039,54.33208031,64.80444957,9.977664016,50.06027978,9.45656476,18.45416088,7.069099808,5.890518766,1.418698085,4.270587475,8.94967343,2.103239562,4.951032423,0.915486127,0.272944084,0.713777582,0.138272059,0.209865514,0.066155317,0.427851059,13.55103121,0.157633712,7.142857143,94.16519646,71.17968183,40.00291554,14.98869281,18.27531344,1.927234341,11.19256906,3.09182388,6.517627691,1.571778954,3.93845112,7.410735076,1.524600822,2.43814648,0.931220142,0.264318195,0.668592649,0.117385516,0.174017908,0.04370893
A,0.277869654,27.53133181,0.2115136,106.25,39.17054989,19.13849781,74.55589173,8.193912562,85.31774576,9.289677788,42.31220543,14.44238119,13.83380151,3.626557701,3.644159247,9.514326893,2.9815044,8.852759266,1.121141795,1.22734744,0.732499973,0.199239644,0.188834733,0.051346579,0.371711581,17.91479708,0.173568872,8.928571429,92.94064542,39.94116991,68.99223023,15.54283626,29.50692099,11.86758855,15.59873826,2.436054897,8.592721497,2.530605285,4.357793562,9.680882183,2.190312946,4.327116975,1.209519221,0.960973584,0.762883232,0.223922817,0.17391999,0.026325363
A,0.400933588,17.10881532,0.160253801,3.571428571,87.47256825,50.3113706,68.29496062,6.614117696,37.18250569,11.18643536,11.732211,5.720101904,5.359277987,1.9266206,4.256461956,9.238083481,1.869022825,4.076608408,0.928982823,0.181868181,0.69641947,0.084029148,0.173259747,0.031596987,0.445207808,13.38917816,0.14593923,3.571428571,96.42006986,64.2182938,47.36362378,12.23996904,16.58396573,3.038279501,11.68153149,2.303024282,5.870266373,1.75166436,4.175538293,7.812358429,1.490280111,2.69862581,0.805766985,0.260219415,0.574757001,0.074826408,0.145479282,0.030579212
A,0.381035429,16.04654924,0.144962377,8.035714286,84.81518055,63.83323642,60.62430551,15.28444714,35.68823228,6.802234836,12.27525241,5.015734563,3.837525306,1.159796311,3.915040384,8.519494228,1.533812927,3.846578348,0.641457684,0.262166615,0.456027893,0.094211518,0.113551298,0.032519641,0.391955207,12.50827926,0.132201506,8.035714286,97.24928048,71.36231828,37.02388722,17.67239554,13.91883666,1.484979219,10.36772044,2.005482868,5.460160082,1.51157653,3.555473835,7.305189971,1.125651549,2.371119757,0.605129026,0.504214012,0.399114957,0.101325589,0.099439031,0.020911498
